Прикладной оптики;Applied Optics
Институт международного развития и партнерства;Institute of International Development and Partnership
Инфокоммуникационных технологий;Infocommunication Technologies
Лазерной фотоники и оптоэлектроники;Laser Photonics and Optoelectronics
Информационных технологий и программирования;Information Technology and Programming
Безопасности информационных технологий;Information Technology Security
Программной инженерии и компьютерной техники;Software Engineering and Computer Technology
Систем управления и робототехники;Control Systems and Robotics
Пищевых биотехнологий и инженерии;Food Biotechnology and Engineering
Технологического менеджмента и инноваций;Technology Management and Innovation
Фотоники и оптоинформатики;Photonics and Optoinformatics
Низкотемпературной энергетики;Low Temperature Energetics
Физико-технический факультет;Physics and Technology Faculty
